,,,,,,All mature & old growth,,,Most likely habitat,,,Highest realistic densities,,
study_area,station_burger,station_popov,n_years_surveyed,mamu_count,watershed_area_ha,habitat_measure_a,habitat_ha_a,density_a,habitat_measure_b,habitat_ha_b,density_b,habitat_measure_c,habitat_ha_c,density_c
Central Coast,Aaltanhash,Aaltanhash,1,35,12293,5,5785,0.006,4,2409,0.015,6,3979,0.009
North Coast,Aaltanhash_River,,1,25,12301,1,2784,0.009,7,2427,0.01,4,1457,0.017
Central Coast,Ahnuhati,Ahnuhati,1,95,18519,5,6715,0.014,4,1319,0.072,6,3666,0.026
Central Coast,Ahta,Ahta,1,62,6629,5,5849,0.011,4,3061,0.02,6,2708,0.023
NW Vancouver Island,Amai,,1,149,2759,1,2035,0.073,2,1708,0.087,2,1708,0.087
NW Vancouver Island,Artlish,Artlish,2,570,12453,1,9143,0.062,2,4742,0.12,2,4742,0.12
Clayoquot Sound,Atleo,,2,118,2732,1,1762,0.067,2,1155,0.102,2,1155,0.102
North Coast,Baker_Inlet,Baker Inlet,1,45,2075,1,1001,0.045,7,1015,0.044,4,485,0.093
North Coast,Barrie_Creek **,Barrie Creek,1,12,10850,1,1840,0.007,7,1467,0.008,4,1205,0.01
North Coast,Bay_of_Plenty **,Bay of Plenty,1,20,7461,1,6453,0.003,7,2831,0.007,4,1359,0.015
Sunshine Coast,Bear (Bute area),,1,93.5,29453,1,5353,0.017,3,3258,0.029,3,3258,0.029
Clayoquot Sound,Bedwell (excluding Ursus),Bedwell,3,110,13598,1,8577,0.013,2,2942,0.037,2,2942,0.037
Central Coast,Bella Coola **,Bella Coola,1,13,144796,5,15368,0.001,4,15325,0.001,6,6157,0.002
Clayoquot Sound,Boat Basin (Hesquiat),,2,331,5672,1,5250,0.063,2,4574,0.072,2,4574,0.072
Sunshine Coast,Brem (Toba area),Brem,2,297.5,24598,1,6298,0.047,3,4739,0.063,3,4739,0.063
North Coast,Brim_River,Brim River,1,36,26616,1,3054,0.012,7,2864,0.013,4,1824,0.02
Sunshine Coast,Brittain  (Jervis area),Brittain,2,113,12223,1,3732,0.03,3,2789,0.041,3,2789,0.041
Clayoquot Sound,Bulson,Bulson,3,412,8856,1,7981,0.052,2,3662,0.113,2,3662,0.113
North Coast,Cedar_Creek,,1,24,2407,1,893,0.027,7,1227,0.02,4,801,0.03
North Coast,Chambers_Creek,,1,26,8911,1,5176,0.005,7,4221,0.006,4,2187,0.012
Central Coast,Chuckwalla/Kilbella,Kilbella,1,462,71610,5,21357,0.022,4,13673,0.034,6,10442,0.044
