ObsID,PI,Observer,Region,Year,Month,Day,DOY,StartHr,StartMin,SurvMin,PredDur,ObsMin,PreObsMin,Status,Site,Description,Access,Loc,Lat,Lon,Unit,Model,Tilt,Radius,Max,Dir,MamuIn,MamuOut,MamuInPD,MaxByYear,DetMax,DetIn,DetOut,DetInPD,DetMaxByYear,Comments,Sun,Start,MamuIn 90 min predawn,MamuIn prior to 90 min predawn,Survey time over 90min Predawn,Sunrise
CC98010018,"Chatwin, Trudy",Kate A. Paul,CC,1998,6,1,152,3,22,182,120,0,0,Complete,Kakweikan,Kakweikan 1,Shore,Coastal,50.80105772,-126.0129322,Trudys (MOE),FR-7111,25,0.5,325,Incoming,325,148,325,325,81,81,53,81,81,,322,202,296,29,30,5:22:00
CC98010019,"Chatwin, Trudy",Paul G. Levesque,CC,1998,6,1,152,20,31,122,0,0,0,Complete,Kakweikan,Kakweikan 1,Shore,Coastal,50.80105772,-126.0129322,Trudys (MOE),FR-7111,25,0.75,11,Incoming,11,6,0,,5,9,5,0,,,316,1231,,,,5:16:00
CC98010020,"Chatwin, Trudy",Paul G. Levesque,CC,1998,6,2,153,3,22,180,120,0,0,Complete,Kakweikan,Kakweikan 1,Shore,Coastal,50.80105772,-126.0129322,Trudys (MOE),FR-7111,25,0.75,141,Incoming,141,118,141,,42,41,42,41,,,322,202,137,4,30,5:22:00
CC98010021,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,6,2,153,20,35,120,0,0,0,Complete,Ahta,Ahta,Shore,Coastal,50.86569935,-126.1656798,Trudys (MOE),FR-7111,25,0.5,11,Incoming,11,5,0,,3,8,3,0,,,315,1235,,,,5:15:33
CC98010022,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,6,3,154,3,21,180,120,0,0,Complete,Ahta,Ahta,Shore,Coastal,50.86569935,-126.1656798,Trudys (MOE),FR-7111,25,0.75,62,Incoming,63,44,62,62,37,32,37,31,37,,321,201,62,,,5:21:00
CC98010023,"Chatwin, Trudy",Kate A. Paul,CC,1998,6,3,154,20,35,120,0,0,0,Complete,Ahta,Ahta,Shore,Coastal,50.86569935,-126.1656798,Trudys (MOE),FR-7111,25,0.75,5,Incoming,5,3,0,,3,5,3,0,,,314,1235,,,,5:14:52
CC98010024,"Chatwin, Trudy",Kate A. Paul,CC,1998,6,4,155,3,20,180,120,0,0,Complete,Ahta,Ahta,Shore,Coastal,50.86569935,-126.1656798,Trudys (MOE),FR-7111,25,0.75,41,Incoming,41,25,41,,29,29,16,29,,,320,200,29,12,30,5:20:00
CC98010025,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,6,5,156,4,25,51,55,65,,Excluded,Wakeman,Wakeman,Shore,Coastal,51.02748916,-126.5086804,Trudys (MOE),FR-7111,25,0.75,81,Incoming,89,72,81,,38,40,38,34,,technical difficulties - late start,320,265,81,,,5:20:00
CC98010026,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,6,5,156,21,28,70,0,0,0,Complete,Wakeman,Wakeman,Shore,Coastal,51.02748916,-126.5086804,Trudys (MOE),FR-7111,25,0.75,41,Incoming,41,7,0,,5,24,5,0,,,314,1288,,,,5:14:10
CC98010027,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,6,6,157,3,19,181,121,0,0,Complete,Wakeman,Wakeman,Shore,Coastal,51.02748916,-126.5086804,Trudys (MOE),FR-7111,25,0.75,250,Incoming,252,89,250,250,67,69,53,67,67,,320,199,250,,,5:20:00
AS05010001,"Cullen, Sean",Unknown,AS,2005,6,21,172,2,51,180,120,0,0,Complete,POR 01,POR 01,Shore,Inland,57.02167967,-131.6309719,Trudys (MOE),FR-7111,25,0.75,0,,0,0,0,0,0,0,0,0,0,,291,171,,,,4:51:29
AS05010002,"Cullen, Sean",Unknown,AS,2005,6,22,173,2,51,180,120,0,0,Complete,POR 02,POR 02,Shore,Inland,57.00644006,-131.5730693,Trudys (MOE),FR-7111,25,0.75,0,,0,0,0,0,0,0,0,0,0,,291,171,,,,4:51:39
AS05010003,"Cullen, Sean",Unknown,AS,2005,6,23,174,2,52,180,120,0,0,Complete,POR 03,POR 03,Shore,Inland,57.03580776,-131.6682369,Trudys (MOE),FR-7111,25,0.5,0,,0,0,0,0,0,0,0,0,0,,292,172,,,,4:52:08
AS05010004,"Cullen, Sean",Unknown,AS,2005,6,24,175,2,55,180,120,0,0,Complete,STI 01,STI 01,Shore,Inland,56.71227315,-131.7900753,Trudys (MOE),FR-7111,25,0.75,10,Incoming,10,0,0,0,0,10,0,0,0,,295,175,,,,4:55:42
CC98010001,"Chatwin, Trudy",Kate A. Paul,CC,1998,5,22,142,3,8,98,139,101,,Excluded,Apple,Apple,Shore,Coastal,50.71565409,-125.4364894,Trudys (MOE),FR-7111,25,0.5,6,Outgoing,6,6,5,,6,4,6,3,,,327,188,5,,,5:27:00
CC98010002,"Chatwin, Trudy",Kate A. Paul,CC,1998,5,22,142,20,40,99,0,0,0,Complete,Apple,Apple,Shore,Coastal,50.71565409,-125.4364894,Trudys (MOE),FR-7111,25,0.5,18,Outgoing,13,18,0,,14,12,14,0,,,323,1240,,,,5:23:50
CC98010003,"Chatwin, Trudy",Bernard K. Schroeder,CC,1998,5,23,143,3,25,100,120,80,,Excluded,Apple,Apple,Shore,Coastal,50.71565409,-125.4364894,Trudys (MOE),FR-7111,25,0.75,52,Incoming,55,28,52,52,32,35,22,32,32,,325,205,52,,,5:25:00
CC98010004,"Chatwin, Trudy",Kate A. Paul,CC,1998,5,23,143,20,30,26,0,75,,Excluded,Stafford,Stafford,Shore,Coastal,50.71789666,-125.4623916,Trudys (MOE),FR-7111,25,0.75,5,Incoming,5,2,0,,2,4,2,0,,,322,1230,,,,5:22:46
CC98010005,"Chatwin, Trudy",Kate A. Paul,CC,1998,5,24,144,3,24,61,120,120,,Excluded,Stafford,Stafford,Shore,Coastal,50.71789666,-125.4623916,Trudys (MOE),FR-7111,25,0.75,8,Incoming,8,5,8,8,6,6,5,6,6,,324,204,8,,,5:24:00
CC98010006,"Chatwin, Trudy",Paul G. Levesque,CC,1998,5,24,144,20,47,0,0,100,,Excluded,Stafford,Stafford,Shore,Coastal,50.71789666,-125.4623916,Trudys (MOE),FR-7111,25,0.75,0,,0,0,0,,0,0,0,0,,,321,1247,,,,5:21:39
CC98010007,"Chatwin, Trudy",Kate A. Paul,CC,1998,5,25,145,3,25,0,118,155,,Excluded,Stafford,Stafford,Shore,Coastal,50.71789666,-125.4623916,Trudys (MOE),FR-7111,25,0.75,0,,0,0,0,,0,0,0,0,,,323,205,,,,5:23:00
