year,bird_id,n_commutes,sex,Straight-line distance from nest to sea,Mean Total nest-sea commute,SD Total nest-sea commute,Range Total  nest-sea commute,Terrestrial portion of nest-sea commute,Mean Marine nest-sea commute,SD Marine nest-sea commute,Range Marine nest-sea commute,Nest fate,Comments
2004,21,63,M,14.6,20.5,3.6,17.4–29.2,16.8,3.7,3.6,0.6–12.4,Successful,
2004,562,31,M,14,27.1,8.7,16.8–49.4,15,12.1,8.7,1.8–34.4,Failed—nestling,
2004,983,9,F,17.7,35.1,7.8,25.1–46.6,23.8,11.3,7.8,1.3–22.8,Failed—incubation,
2005,70,2,M,22.7,86.9,60.8,43.9–129.9,29,57.8,60.8,14.9–100.8,Failed—incubation,
2005,141,26,M,9.9,63.6,4,60.0–75.5,11.8,51.7,4,48.1–63.7,Failed—incubation,
2005,212,20,F,4.7,89,15.7,45.9–138.3,5.1,83.9,15.7,40.7–133.1,Failed—incubation,
2005,302,20,F,37.7,71.9,11.2,45.2–79.7,61.2,10.7,3.5,1.8–14.1,Failed—nestling,"For all but 1 individual, nest-sea commuting distance did not vary because the same terrestrial path was presumably taken on every commute. One individual (bird 302) that nested in the interior of the Olympic Peninsula foraged both in the Pacific Ocean (to the west) and in the Strait of Juan de Fuca (to the north) and thus had 2 different terrestrial paths estimated (43.4–65.6)."
2005,619,31,M,18.9,86.2,23.3,41.3–103.6,21.8,64.4,23.3,19.5–81.8,Failed—nestling,
2005,844,59,F,8.2,37.2,5.9,18.2–48.3,10.4,26.8,5.9,7.8–37.9,Failed—nestling,
2005,853,16,F,36.7,57.6,3.5,49.7–61.3,47.4,10.3,3.5,2.4–14.0,Failed—incubation,
2005,932,60,M,30.7,69.2,29.2,40.4–127.0,40.4,28.9,29.2,0.5–86.7,Successful,
2006,122,27,M,12.7,48.9,5.3,40.5–58.0,21.5,27.3,5.3,19.0–36.4,Failed—nestling,
2006,232,61,F,7,47.6,16.9,21.7–78.0,8.6,38.9,16.9,13.0–69.3,Successful,
2007,161,18,M,20.4,42.7,7.4,34.2–53.0,33.6,9,7.4,0.6–19.4,Failed—incubation,
2007,211,8,M,14.2,74.8,29.1,28.0–97.0,19.1,55.7,29.1,8.9–77.9,Failed—incubation,
2007,295,24,M,24.1,39.3,9.3,29.3–60.2,28,11.4,9.3,1.3–32.2,Failed—incubation,
2007,382,27,M,3.9,51.9,13.8,25.3–62.7,4.1,47.9,13.8,21.3–58.7,Failed—incubation,
2007,520,66,M,21.6,53.9,18.7,33.2–93.8,31.3,22.6,18.7,1.8–62.5,Failed—nestling,
2008,258,27,M,57.9,124.4,7.1,117.9–145.3,84.3,40.1,7.1,33.6–61.0,Successful,
2008,346,28,M,20.3,27.1,1.8,24.3–31.7,22.5,4.6,1.8,1.8–9.2,Failed—nestling,
